"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"2020-06","1-2","60+","1-2","16-59","Other",662080.256706845
"2020-06","3-10","60+","1-2","16-59","Other",841977.168735686
"2020-06","1-2","16-59","3-10","16-59","Other",4290783.98458495
"2020-06","3-10","16-59","3-10","16-59","Other",29531061.4514574
"2020-06","1-2","60+","3-10","16-59","Other",664070.574412714
"2020-06","3-10","60+","3-10","16-59","Other",5794856.97718311
"2020-06","1-2","16-59","1-2","60+","Other",662080.256706845
"2020-06","3-10","16-59","1-2","60+","Other",664070.574412714
"2020-06","1-2","60+","1-2","60+","Other",240785.8913503
"2020-06","3-10","60+","1-2","60+","Other",306210.948018636
"2020-06","1-2","16-59","3-10","60+","Other",841977.168735686
"2020-06","3-10","16-59","3-10","60+","Other",5794856.97718311
"2020-06","1-2","60+","3-10","60+","Other",279172.329316879
"2020-06","3-10","60+","3-10","60+","Other",2436132.21653298
"2020-07","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-07","3-10","16-59","1-2","16-59","Home",0
"2020-07","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-07","3-10","60+","1-2","16-59","Home",0
"2020-07","1-2","16-59","3-10","16-59","Home",0
"2020-07","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-07","1-2","60+","3-10","16-59","Home",0
"2020-07","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-07","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-07","3-10","16-59","1-2","60+","Home",0
"2020-07","1-2","60+","1-2","60+","Home",272834.210196039
"2020-07","3-10","60+","1-2","60+","Home",0
"2020-07","1-2","16-59","3-10","60+","Home",0
"2020-07","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-07","1-2","60+","3-10","60+","Home",0
"2020-07","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-07","1-2","16-59","1-2","16-59","Other",4217811.36000352
"2020-07","3-10","16-59","1-2","16-59","Other",4969993.76358013
"2020-07","1-2","60+","1-2","16-59","Other",656916.436664792
"2020-07","3-10","60+","1-2","16-59","Other",981442.585942608
"2020-07","1-2","16-59","3-10","16-59","Other",5001511.06932705
"2020-07","3-10","16-59","3-10","16-59","Other",32956173.4961641
"2020-07","1-2","60+","3-10","16-59","Other",774067.475937229
"2020-07","3-10","60+","3-10","16-59","Other",6466964.02157529
"2020-07","1-2","16-59","1-2","60+","Other",656916.436664792
"2020-07","3-10","16-59","1-2","60+","Other",774067.475937229
"2020-07","1-2","60+","1-2","60+","Other",238907.909037729
"2020-07","3-10","60+","1-2","60+","Other",356931.845454457
"2020-07","1-2","16-59","3-10","60+","Other",981442.585942608
