"decile","decile.visited","month","visit.prop"
"1","7","2020-04",0.0150132887632557
"1","8","2020-04",0.00910634143615452
"1","9","2020-04",0.00611124503882994
"1","10","2020-04",0.00569685193939335
"2","1","2020-04",0.0417638158530157
"2","2","2020-04",0.0492443035763466
"2","3","2020-04",0.0300801312997663
"2","4","2020-04",0.0212186976849805
"2","5","2020-04",0.0209077577592367
"2","6","2020-04",0.0184967508299472
"2","7","2020-04",0.0163754668509522
"2","8","2020-04",0.0075711794253294
"2","9","2020-04",0.00452028385239231
"2","10","2020-04",0.00312087165059659
"3","1","2020-04",0.0278892621666406
"3","2","2020-04",0.0322131827732174
"3","3","2020-04",0.0339673643680468
"3","4","2020-04",0.0271629100741995
"3","5","2020-04",0.0259304371661176
"3","6","2020-04",0.0178020913631705
"3","7","2020-04",0.0156339406125558
"3","8","2020-04",0.00976563926500641
"3","9","2020-04",0.00650502940380154
"3","10","2020-04",0.00488811583881314
"4","1","2020-04",0.0229610962650828
"4","2","2020-04",0.0229102517577306
"4","3","2020-04",0.0262249555433179
"4","4","2020-04",0.0287774063562594
"4","5","2020-04",0.032624506275835
"4","6","2020-04",0.0260315026070911
"4","7","2020-04",0.0186380325329082
"4","8","2020-04",0.012864126017009
"4","9","2020-04",0.0100747619086109
"4","10","2020-04",0.00519857667083334
"5","1","2020-04",0.0193099437911356
"5","2","2020-04",0.0186875846608191
"5","3","2020-04",0.0277894577460436
"5","4","2020-04",0.0322427643491036
"5","5","2020-04",0.0314419476287373
"5","6","2020-04",0.0259469266077742
"5","7","2020-04",0.022062217882778
"5","8","2020-04",0.0175231442969021
"5","9","2020-04",0.010976852923196
"5","10","2020-04",0.00691456594453746
"6","1","2020-04",0.0184764333498015
"6","2","2020-04",0.0161500162726125
"6","3","2020-04",0.0196483404921532
"6","4","2020-04",0.0266697806943237
"6","5","2020-04",0.0278949745004713
"6","6","2020-04",0.0268122829705381
"6","7","2020-04",0.0245085162063572
"6","8","2020-04",0.0166736767327098
"6","9","2020-04",0.0130165311517324
"6","10","2020-04",0.00796315488925613
"7","1","2020-04",0.015245314553067
"7","2","2020-04",0.0148274206079966
"7","3","2020-04",0.0159376970325709
"7","4","2020-04",0.0230305976546267
"7","5","2020-04",0.0236584161727281
"7","6","2020-04",0.0263911789638516
"7","7","2020-04",0.0261156707913615
"7","8","2020-04",0.0182962453056814
"7","9","2020-04",0.0166255296744456
"7","10","2020-04",0.0113742864642019
"8","1","2020-04",0.0126206782718197
"8","2","2020-04",0.00997718791467604
"8","3","2020-04",0.0123786429765488
"8","4","2020-04",0.018345480371874
"8","5","2020-04",0.0225241703390824
"8","6","2020-04",0.0202619882584412
"8","7","2020-04",0.0230395888173405
"8","8","2020-04",0.0336603978008228
"8","9","2020-04",0.0250053151921726
"8","10","2020-04",0.0119331356099076
"9","1","2020-04",0.00995403536846537
"9","2","2020-04",0.00578989740713578
"9","3","2020-04",0.00873422981730692
"9","4","2020-04",0.0126927327036984
"9","5","2020-04",0.0142672269912277
"9","6","2020-04",0.0155299424685832
"9","7","2020-04",0.020737286655161
"9","8","2020-04",0.0260021041363166
"9","9","2020-04",0.0331816000156699
"9","10","2020-04",0.0293818431598774
"10","1","2020-04",0.00851527020182673
"10","2","2020-04",0.00498781094622291
"10","3","2020-04",0.00594652962385989
"10","4","2020-04",0.00718417108939408
"10","5","2020-04",0.00992692145735437
"10","6","2020-04",0.00829997686516557
"10","7","2020-04",0.0108401670000379
"10","8","2020-04",0.0172265546330902
"10","9","2020-04",0.0325102895488367
"10","10","2020-04",0.0693161020436991
"1","1","2020-05",0.105028955048066
"1","2","2020-05",0.0580939413979124
"1","3","2020-05",0.0354604317016792
"1","4","2020-05",0.0268863310542631
"1","5","2020-05",0.0275955040444961
"1","6","2020-05",0.0250151698212057
"1","7","2020-05",0.0222254519537717
"1","8","2020-05",0.0174913873399731
"1","9","2020-05",0.0124860595426352
"1","10","2020-05",0.0113571982324536
"2","1","2020-05",0.064738761547687
"2","2","2020-05",0.0787772390357116
"2","3","2020-05",0.0487185089956507
"2","4","2020-05",0.0334618412512429
"2","5","2020-05",0.0329326198099016
"2","6","2020-05",0.0286584147504588
"2","7","2020-05",0.0235327764700662
"2","8","2020-05",0.0147727531412817
"2","9","2020-05",0.012210176462388
"2","10","2020-05",0.0101713075478463
"3","1","2020-05",0.0390512343813528
"3","2","2020-05",0.0542959827607115
"3","3","2020-05",0.0498033271169428
"3","4","2020-05",0.0429263919715227
"3","5","2020-05",0.0389420736042814
"3","6","2020-05",0.0289120058497037
"3","7","2020-05",0.0239331340054266
"3","8","2020-05",0.0177508414635214
"3","9","2020-05",0.0163947165074562
"3","10","2020-05",0.0112557210306232
"4","1","2020-05",0.0338851985298862
"4","2","2020-05",0.038728093643962
"4","3","2020-05",0.0408047376267586
"4","4","2020-05",0.0451723819091691
"4","5","2020-05",0.0501479186137941
"4","6","2020-05",0.0416095696895062
"4","7","2020-05",0.032073667080163
"4","8","2020-05",0.0239818574171457
"4","9","2020-05",0.0210714277602704
"4","10","2020-05",0.0137421498079145
"5","1","2020-05",0.0294534026991664
"5","2","2020-05",0.0305812282189441
"5","3","2020-05",0.0416052447219613
"5","4","2020-05",0.0508927683134248
"5","5","2020-05",0.0488350006298571
"5","6","2020-05",0.04222263010811
"5","7","2020-05",0.0360804367067362
"5","8","2020-05",0.0301893933063686
"5","9","2020-05",0.0233345014968109
"5","10","2020-05",0.0171694543040394
"6","1","2020-05",0.0273188998727166
"6","2","2020-05",0.0289701657574862
"6","3","2020-05",0.0316847548346693
"6","4","2020-05",0.0416094015906181
"6","5","2020-05",0.0466814445984629
"6","6","2020-05",0.0392963682736684
"6","7","2020-05",0.0395453931598363
"6","8","2020-05",0.0293438853684324
"6","9","2020-05",0.0269034791696374
"6","10","2020-05",0.0187607034385174
"7","1","2020-05",0.0233557907474136
"7","2","2020-05",0.023337729169786
"7","3","2020-05",0.0235467618402851
"7","4","2020-05",0.0382612720421554
"7","5","2020-05",0.0374423040775035
"7","6","2020-05",0.0426266825469388
"7","7","2020-05",0.0427347513702953
"7","8","2020-05",0.0307999072769232
"7","9","2020-05",0.0308673348568637
"7","10","2020-05",0.0187932510666443
"8","1","2020-05",0.0190510139384372
"8","2","2020-05",0.0173924684826193
"8","3","2020-05",0.0210465214325776
"8","4","2020-05",0.0321553890482669
"8","5","2020-05",0.0375411095655732
"8","6","2020-05",0.032917399665323
"8","7","2020-05",0.0357283937511851
"8","8","2020-05",0.0564849474061669
"8","9","2020-05",0.0442153425996131
"8","10","2020-05",0.0236752104248686
"9","1","2020-05",0.014340477443113
"9","2","2020-05",0.0118963991172504
"9","3","2020-05",0.0154424175182973
"9","4","2020-05",0.022823946119817
"9","5","2020-05",0.0240067073563288
"9","6","2020-05",0.0242421828033746
"9","7","2020-05",0.0311079162621934
"9","8","2020-05",0.0409467937496503
"9","9","2020-05",0.0624212575890231
"9","10","2020-05",0.0466118918297546
"10","1","2020-05",0.0120238948865614
"10","2","2020-05",0.00899878358299714
"10","3","2020-05",0.00915988416206838
"10","4","2020-05",0.0131356481906813
"10","5","2020-05",0.0139997381256968
"10","6","2020-05",0.0135124606527458
"10","7","2020-05",0.013633002299109
"10","8","2020-05",0.0210926347662428
"10","9","2020-05",0.0474883632253422
"10","10","2020-05",0.0976736376751332
"1","1","2020-06",0.0998899511619006
"1","2","2020-06",0.0560998709022707
"1","3","2020-06",0.0378223221545137
"1","4","2020-06",0.0281004128732698
"1","5","2020-06",0.0294327284735385
"1","6","2020-06",0.0273898422034443
"1","7","2020-06",0.0227254547460641
"1","8","2020-06",0.0196609486042701
"1","9","2020-06",0.0162951555688615
"1","10","2020-06",0.0149642480924891
"2","1","2020-06",0.0645882894243669
"2","2","2020-06",0.0766576604474895
"2","3","2020-06",0.0493626956228155
"2","4","2020-06",0.0354302599326086
"2","5","2020-06",0.0371148645623102
"2","6","2020-06",0.0319408002166216
"2","7","2020-06",0.026209903654805
"2","8","2020-06",0.0179514523769915
"2","9","2020-06",0.018443049845978
"2","10","2020-06",0.0147329922116967
"3","1","2020-06",0.0392889569837039
"3","2","2020-06",0.0532337479087051
"3","3","2020-06",0.0505272333186946
"3","4","2020-06",0.0438937849026107
"3","5","2020-06",0.0408033876421419
"3","6","2020-06",0.0319592213661441
"3","7","2020-06",0.0259303554509164
"3","8","2020-06",0.0230496251528578
"3","9","2020-06",0.0210629724985111
"3","10","2020-06",0.0172817447631641
"4","1","2020-06",0.0378411122243731
"4","2","2020-06",0.039555068022633
"4","3","2020-06",0.0422272481054914
"4","4","2020-06",0.0461262871426028
"4","5","2020-06",0.0535554776685849
"4","6","2020-06",0.0472019032441362
"4","7","2020-06",0.0343017411544374
"4","8","2020-06",0.0272052271694267
"4","9","2020-06",0.0249079496469094
"4","10","2020-06",0.0199475595033295
"5","1","2020-06",0.0317181515554929
"5","2","2020-06",0.0331407755071903
"5","3","2020-06",0.0437560520566686
"5","4","2020-06",0.0518008499512595
"5","5","2020-06",0.0525793080325177
"5","6","2020-06",0.0457587347147046
"5","7","2020-06",0.0401497959802349
"5","8","2020-06",0.0354459698167864
"5","9","2020-06",0.0319395771075363
"5","10","2020-06",0.0267951191226309
"6","1","2020-06",0.0303150321465017
"6","2","2020-06",0.0325811438838117
"6","3","2020-06",0.0348819391731691
"6","4","2020-06",0.045974985564251
"6","5","2020-06",0.0501289918117182
"6","6","2020-06",0.0441140162102296
"6","7","2020-06",0.0438547619543237
"6","8","2020-06",0.0354851034659479
"6","9","2020-06",0.0334401063404535
"6","10","2020-06",0.0268006320498716
"7","1","2020-06",0.0272660393274007
"7","2","2020-06",0.0265303700532609
"7","3","2020-06",0.0272644788885629
"7","4","2020-06",0.0404308490090371
"7","5","2020-06",0.041248374872771
"7","6","2020-06",0.0459254585265146
"7","7","2020-06",0.0445277045269471
"7","8","2020-06",0.0357756527095405
"7","9","2020-06",0.0369259658499224
"7","10","2020-06",0.0263402967141603
"8","1","2020-06",0.0212026291773586
"8","2","2020-06",0.0196727624856936
"8","3","2020-06",0.0239836703097636
"8","4","2020-06",0.0344507589348068
"8","5","2020-06",0.0397122233255164
"8","6","2020-06",0.0391771847334104
"8","7","2020-06",0.0404913692301998
"8","8","2020-06",0.0603169033130291
"8","9","2020-06",0.0526823133353119
"8","10","2020-06",0.0345905128994969
"9","1","2020-06",0.0164161063664515
"9","2","2020-06",0.0143460729915044
"9","3","2020-06",0.0187870807910953
