"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact.pp"
"2020-08","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-08","1-2","60+","3-10","16-59","Home",0
"2020-08","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-08","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-08","3-10","16-59","1-2","60+","Home",0
"2020-08","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-08","3-10","60+","1-2","60+","Home",0
"2020-08","1-2","16-59","3-10","60+","Home",0
"2020-08","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-08","1-2","60+","3-10","60+","Home",0
"2020-08","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-08","1-2","16-59","1-2","16-59","Other",4.09489876072921
"2020-08","3-10","16-59","1-2","16-59","Other",1.45646263084322
"2020-08","1-2","60+","1-2","16-59","Other",2.10561782038362
"2020-08","3-10","60+","1-2","16-59","Other",0.748920510474397
"2020-08","1-2","16-59","3-10","16-59","Other",5.59549678063476
"2020-08","3-10","16-59","3-10","16-59","Other",9.17256067368571
"2020-08","1-2","60+","3-10","16-59","Other",2.84929783683984
"2020-08","3-10","60+","3-10","16-59","Other",4.67078408056024
"2020-08","1-2","16-59","1-2","60+","Other",0.674232384196482
"2020-08","3-10","16-59","1-2","60+","Other",0.239809169766052
"2020-08","1-2","60+","1-2","60+","Other",1.00561275355325
"2020-08","3-10","60+","1-2","60+","Other",0.357673652568847
"2020-08","1-2","16-59","3-10","60+","Other",1.15678856736529
"2020-08","3-10","16-59","3-10","60+","Other",1.89629513459936
"2020-08","1-2","60+","3-10","60+","Other",1.55567992121487
"2020-08","3-10","60+","3-10","60+","Other",2.55018795034661
"2020-09","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-09","3-10","16-59","1-2","16-59","Home",0
"2020-09","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-09","3-10","60+","1-2","16-59","Home",0
"2020-09","1-2","16-59","3-10","16-59","Home",0
"2020-09","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-09","1-2","60+","3-10","16-59","Home",0
"2020-09","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-09","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-09","3-10","16-59","1-2","60+","Home",0
"2020-09","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-09","3-10","60+","1-2","60+","Home",0
"2020-09","1-2","16-59","3-10","60+","Home",0
"2020-09","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-09","1-2","60+","3-10","60+","Home",0
"2020-09","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-09","1-2","16-59","1-2","16-59","Other",4.44329604913744
"2020-09","3-10","16-59","1-2","16-59","Other",1.32173212477503
"2020-09","1-2","60+","1-2","16-59","Other",2.28476548236759
"2020-09","3-10","60+","1-2","16-59","Other",0.679641397338038
"2020-09","1-2","16-59","3-10","16-59","Other",5.07788369740624
"2020-09","3-10","16-59","3-10","16-59","Other",8.71450464592589
"2020-09","1-2","60+","3-10","16-59","Other",2.58572269844155
"2020-09","3-10","60+","3-10","16-59","Other",4.43753614919436
"2020-09","1-2","16-59","1-2","60+","Other",0.731596619098651
"2020-09","3-10","16-59","1-2","60+","Other",0.217625551650379
"2020-09","1-2","60+","1-2","60+","Other",1.09117109748268
"2020-09","3-10","60+","1-2","60+","Other",0.324586945641144
"2020-09","1-2","16-59","3-10","60+","Other",1.04977949909637
"2020-09","3-10","16-59","3-10","60+","Other",1.80159863187611
"2020-09","1-2","60+","3-10","60+","Other",1.41177129038096
"2020-09","3-10","60+","3-10","60+","Other",2.42283758395134
"2020-10","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-10","3-10","16-59","1-2","16-59","Home",0
"2020-10","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-10","3-10","60+","1-2","16-59","Home",0
"2020-10","1-2","16-59","3-10","16-59","Home",0
"2020-10","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-10","1-2","60+","3-10","16-59","Home",0
"2020-10","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-10","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-10","3-10","16-59","1-2","60+","Home",0
"2020-10","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-10","3-10","60+","1-2","60+","Home",0
"2020-10","1-2","16-59","3-10","60+","Home",0
"2020-10","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-10","1-2","60+","3-10","60+","Home",0
"2020-10","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-10","1-2","16-59","1-2","16-59","Other",4.18366707828574
"2020-10","3-10","16-59","1-2","16-59","Other",1.11190052923604
"2020-10","1-2","60+","1-2","16-59","Other",2.15126294185158
"2020-10","3-10","60+","1-2","16-59","Other",0.571744921097012
"2020-10","1-2","16-59","3-10","16-59","Other",4.27174422465223
"2020-10","3-10","16-59","3-10","16-59","Other",7.73739743110272
"2020-10","1-2","60+","3-10","16-59","Other",2.17522626783711
"2020-10","3-10","60+","3-10","16-59","Other",3.93998077874154
"2020-10","1-2","16-59","1-2","60+","Other",0.688848246000253
"2020-10","3-10","16-59","1-2","60+","Other",0.183076405210722
"2020-10","1-2","60+","1-2","60+","Other",1.02741220635105
"2020-10","3-10","60+","1-2","60+","Other",0.273057142121689
"2020-10","1-2","16-59","3-10","60+","Other",0.883121745130525
"2020-10","3-10","16-59","3-10","60+","Other",1.59959575357772
"2020-10","1-2","60+","3-10","60+","Other",1.18764552628394
"2020-10","3-10","60+","3-10","60+","Other",2.15117875997787
"2020-11","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-11","3-10","16-59","1-2","16-59","Home",0
