FSA,decile
"L8V",4
"L8W",3
"L9A",3
"L9B",3
"L9C",4
"L9E",3
"L9G",6
"L9H",8
"L9J",5
"L9K",5
"L9L",9
"L9M",9
"L9N",4
"L9P",9
"L9R",5
"L9S",6
"L9T",3
"L9V",7
"L9W",6
"L9X",7
"L9Y",9
"L9Z",9
"M1B",1
"M1C",2
"M1E",2
"M1G",1
"M1H",2
"M1J",1
"M1K",2
"M1L",2
"M1M",2
"M1N",5
"M1P",2
"M1R",2
"M1S",3
"M1T",3
"M1V",2
"M1W",2
"M1X",1
"M2H",6
"M2J",4
"M2K",7
"M2L",6
"M2M",3
"M2N",7
"M2P",7
"M2R",1
"M3A",3
"M3B",8
"M3C",2
"M3H",2
"M3J",1
"M3K",1
"M3L",1
"M3M",1
"M3N",1
"M4A",2
"M4B",4
"M4C",4
"M4E",8
"M4G",8
"M4H",1
"M4J",5
"M4K",6
"M4L",7
"M4M",6
"M4N",7
"M4P",6
"M4R",8
"M4S",7
"M4T",8
"M4V",8
"M4W",8
"M4X",2
"M4Y",7
"M5A",3
"M5B",4
"M5C",6
"M5E",7
"M5G",8
"M5H",5
"M5J",9
"M5M",5
"M5N",2
"M5P",7
"M5R",6
"M5S",7
"M5T",5
"M5V",5
"M6A",1
"M6B",1
"M6C",4
"M6E",2
"M6G",6
"M6H",3
"M6J",5
"M6K",3
"M6L",1
"M6M",1
"M6N",1
"M6P",7
"M6R",6
"M6S",6
"M8V",4
"M8W",4
"M8X",6
"M8Y",5
"M8Z",2
"M9A",3
"M9B",3
"M9C",3
"M9L",1
"M9M",1
"M9N",1
"M9P",2
"M9R",1
"M9V",1
"M9W",1
"N0A",5
"N0B",7
"N0C",9
"N0E",6
"N0G",8
"N0H",10
"N0J",6
"N0K",9
"N0L",9
"N0M",9
"N0N",5
"N0P",4
"N0R",5
"N1A",6
"N1C",6
"N1E",6
"N1G",6
"N1H",4
"N1K",3
"N1L",5
"N1M",9
"N1P",5
"N1R",5
"N1S",7
"N1T",4
"N2A",5
"N2B",5
"N2C",3
"N2E",4
"N2G",5
"N2H",8
"N2J",7
"N2K",8
"N2L",6
"N2M",3
"N2N",5
"N2P",4
"N2R",4
"N2T",8
"N2V",8
"N2Z",10
"N3A",9
"N3B",3
"N3C",7
"N3E",2
"N3H",6
"N3L",8
"N3P",8
"N3R",9
"N3S",8
"N3T",7
"N3V",10
"N3W",7
"N3Y",8
"N4B",8
"N4G",7
"N4K",10
"N4L",10
"N4N",9
"N4S",8
"N4T",7
"N4V",9
"N4W",4
"N4X",9
"N4Z",7
"N5A",8
"N5C",9
"N5H",3
"N5L",9
"N5P",9
"N5R",9
"N5V",8
"N5W",9
"N5X",8
"N5Y",6
"N5Z",8
"N6A",4
"N6B",9
"N6C",8
"N6E",5
"N6G",8
"N6H",7
"N6J",9
"N6K",8
"N6L",3
"N6M",6
"N6N",9
"N6P",8
"N7A",10
"N7G",9
"N7L",8
"N7M",8
"N7S",4
"N7T",4
"N7V",4
"N7W",3
"N7X",4
"N8A",2
"N8H",1
"N8M",5
"N8N",4
"N8P",3
"N8R",2
"N8S",4
"N8T",3
"N8W",4
"N8X",4
"N8Y",3
"N9A",2
"N9B",3
"N9C",3
"N9E",3
"N9G",3
"N9H",4
"N9J",5
"N9K",5
"N9V",6
"N9Y",1
"P0A",10
"P0B",9
"P0C",10
"P0E",9
"P0G",9
"P0H",10
"P0J",10
"P0K",10
"P0L",9
"P0M",10
"P0N",10
"P0P",10
"P0R",10
"P0S",10
"P0T",9
"P0V",9
"P0W",9
"P0X",2
"P1A",10
"P1B",10
"P1C",10
"P1H",10
"P1L",10
"P1P",10
"P2A",10
"P2B",10
"P2N",9
"P3A",9
"P3B",9
"P3C",9
"P3E",9
"P3G",8
"P3L",9
"P3N",10
"P3P",9
"P3Y",9
"P4N",10
"P4P",10
"P4R",10
"P5A",10
"P5E",10
"P5N",10
"P6A",10
"P6B",10
"P6C",10
"P7A",6
"P7B",5
"P7C",4
"P7E",5
"P7G",8
"P7J",7
"P7K",8
"P7L",5
"P8N",10
"P8T",9
"P9A",10
"P9N",9
