"type","a","a.","contacts"
"work","10-14","10-14",0.166497042074482
"work","15-19","10-14",0.0531667808169542
"work","20-24","10-14",0.0725496581366664
"work","25-29","10-14",0.0930282015890597
"work","30-34","10-14",0.106445510901637
"work","35-39","10-14",0.0651841411044636
"work","40-44","10-14",0.073284380740014
"work","45-49","10-14",0.099458020010617
"work","50-54","10-14",0.104489981265358
"work","55-59","10-14",0.153604988866448
"work","60-64","10-14",0.0332653946071648
"work","65-69","10-14",7.64855295622674e-06
"work","70-74","10-14",2.54830412385497e-06
"work","75+?","10-14",1.18637122150631e-89
"work","00-04","15-19",0
"work","05-09","15-19",0
"work","10-14","15-19",0.0298295552791899
"work","15-19","15-19",0.753936178010486
"work","20-24","15-19",0.424554497350963
"work","25-29","15-19",0.372068772081067
"work","30-34","15-19",0.203053648539739
"work","35-39","15-19",0.403304161653587
"work","40-44","15-19",0.250601196605002
"work","45-49","15-19",0.318630428117135
"work","50-54","15-19",0.231573910004844
"work","55-59","15-19",0.148467399620474
"work","60-64","15-19",0.012914978590867
"work","65-69","15-19",2.27621532264405e-05
"work","70-74","15-19",2.60648190953352e-05
"work","75+?","15-19",9.39934076423345e-22
"work","00-04","20-24",0
"work","05-09","20-24",0
"work","10-14","20-24",0.0332096231993621
"work","15-19","20-24",0.629910857842034
"work","20-24","20-24",0.856833145063441
"work","25-29","20-24",0.813015100861099
"work","30-34","20-24",0.568901949528069
"work","35-39","20-24",0.46993552807698
"work","40-44","20-24",0.55031383596504
"work","45-49","20-24",0.381513871872194
"work","50-54","20-24",0.308560021750488
"work","55-59","20-24",0.198353235672373
"work","60-64","20-24",0.0505765693071071
"work","65-69","20-24",3.14933351214398e-05
"work","70-74","20-24",1.68036205292059e-05
"work","75+?","20-24",4.66000451729006e-05
"work","00-04","25-29",0
"work","05-09","25-29",0
"work","10-14","25-29",0.00958047772205924
"work","15-19","25-29",0.361196119105678
"work","20-24","25-29",0.818749835748457
"work","25-29","25-29",1.36506686752905
