decile,t,cases
5,2021-03-10,125
5,2021-03-11,119
5,2021-03-12,131
5,2021-03-13,117
5,2021-03-14,120
5,2021-03-15,146
5,2021-03-16,138
5,2021-03-17,182
5,2021-03-18,132
5,2021-03-19,169
5,2021-03-20,155
5,2021-03-21,127
5,2021-03-22,193
5,2021-03-23,202
5,2021-03-24,227
5,2021-03-25,195
5,2021-03-26,201
5,2021-03-27,206
5,2021-03-28,170
5,2021-03-29,223
5,2021-03-30,222
5,2021-03-31,250
5,2021-04-01,292
5,2021-04-02,265
5,2021-04-03,268
5,2021-04-04,257
5,2021-04-05,378
5,2021-04-06,392
5,2021-04-07,406
5,2021-04-08,388
5,2021-04-09,367
5,2021-04-10,419
5,2021-04-11,354
5,2021-04-12,377
5,2021-04-13,348
5,2021-04-14,340
5,2021-04-15,329
5,2021-04-16,310
5,2021-04-17,308
5,2021-04-18,281
5,2021-04-19,321
5,2021-04-20,294
5,2021-04-21,287
5,2021-04-22,242
5,2021-04-23,282
5,2021-04-24,238
5,2021-04-25,235
5,2021-04-26,263
5,2021-04-27,250
5,2021-04-28,266
5,2021-04-29,236
5,2021-04-30,242
6,2020-12-01,141
6,2020-12-02,136
6,2020-12-03,132
6,2020-12-04,130
6,2020-12-05,126
6,2020-12-06,132
6,2020-12-07,146
6,2020-12-08,165
6,2020-12-09,193
6,2020-12-10,160
6,2020-12-11,177
6,2020-12-12,158
6,2020-12-13,161
6,2020-12-14,222
6,2020-12-15,207
6,2020-12-16,229
6,2020-12-17,199
6,2020-12-18,167
6,2020-12-19,170
6,2020-12-20,185
6,2020-12-21,219
6,2020-12-22,266
6,2020-12-23,250
6,2020-12-24,239
6,2020-12-25,213
6,2020-12-26,269
6,2020-12-27,279
6,2020-12-28,306
6,2020-12-29,300
6,2020-12-30,289
6,2020-12-31,352
6,2021-01-01,252
6,2021-01-02,267
6,2021-01-03,289
6,2021-01-04,383
6,2021-01-05,338
6,2021-01-06,297
6,2021-01-07,279
6,2021-01-08,284
6,2021-01-09,244
6,2021-01-10,186
6,2021-01-11,249
6,2021-01-12,206
6,2021-01-13,244
6,2021-01-14,174
6,2021-01-15,217
6,2021-01-16,172
6,2021-01-17,130
6,2021-01-18,195
6,2021-01-19,170
6,2021-01-20,161
6,2021-01-21,158
6,2021-01-22,148
6,2021-01-23,141
6,2021-01-24,111
6,2021-01-25,187
6,2021-01-26,161
6,2021-01-27,135
6,2021-01-28,137
6,2021-01-29,117
6,2021-01-30,105
6,2021-01-31,75
6,2021-02-01,159
6,2021-02-02,120
6,2021-02-03,110
6,2021-02-04,72
6,2021-02-05,96
6,2021-02-06,69
6,2021-02-07,71
6,2021-02-08,123
6,2021-02-09,88
6,2021-02-10,90
6,2021-02-11,96
6,2021-02-12,79
6,2021-02-13,88
6,2021-02-14,63
6,2021-02-15,75
6,2021-02-16,70
6,2021-02-17,84
6,2021-02-18,67
6,2021-02-19,85
6,2021-02-20,55
6,2021-02-21,82
6,2021-02-22,84
6,2021-02-23,96
6,2021-02-24,90
6,2021-02-25,62
6,2021-02-26,85
6,2021-02-27,81
6,2021-02-28,80
6,2021-03-01,91
6,2021-03-02,84
6,2021-03-03,97
6,2021-03-04,62
6,2021-03-05,78
6,2021-03-06,88
6,2021-03-07,77
6,2021-03-08,135
6,2021-03-09,130
6,2021-03-10,122
6,2021-03-11,109
6,2021-03-12,103
6,2021-03-13,100
6,2021-03-14,107
6,2021-03-15,143
6,2021-03-16,144
6,2021-03-17,136
6,2021-03-18,120
6,2021-03-19,144
6,2021-03-20,142
6,2021-03-21,124
6,2021-03-22,201
6,2021-03-23,177
6,2021-03-24,218
6,2021-03-25,186
6,2021-03-26,184
6,2021-03-27,194
6,2021-03-28,181
6,2021-03-29,258
6,2021-03-30,266
6,2021-03-31,244
6,2021-04-01,271
6,2021-04-02,259
6,2021-04-03,284
6,2021-04-04,271
6,2021-04-05,347
6,2021-04-06,348
6,2021-04-07,394
6,2021-04-08,348
6,2021-04-09,348
6,2021-04-10,356
6,2021-04-11,331
6,2021-04-12,320
6,2021-04-13,338
6,2021-04-14,365
6,2021-04-15,302
6,2021-04-16,294
6,2021-04-17,296
6,2021-04-18,302
6,2021-04-19,338
6,2021-04-20,301
6,2021-04-21,307
6,2021-04-22,246
6,2021-04-23,270
6,2021-04-24,256
6,2021-04-25,224
6,2021-04-26,262
6,2021-04-27,230
6,2021-04-28,275
6,2021-04-29,230
6,2021-04-30,251
7,2020-12-01,131
7,2020-12-02,126
7,2020-12-03,139
7,2020-12-04,109
7,2020-12-05,101
7,2020-12-06,114
7,2020-12-07,156
7,2020-12-08,121
7,2020-12-09,136
7,2020-12-10,138
7,2020-12-11,128
7,2020-12-12,113
7,2020-12-13,108
7,2020-12-14,141
7,2020-12-15,147
7,2020-12-16,147
7,2020-12-17,150
7,2020-12-18,161
7,2020-12-19,114
7,2020-12-20,124
7,2020-12-21,164
7,2020-12-22,140
7,2020-12-23,205
7,2020-12-24,147
7,2020-12-25,147
7,2020-12-26,223
7,2020-12-27,239
7,2020-12-28,259
7,2020-12-29,244
7,2020-12-30,208
7,2020-12-31,243
7,2021-01-01,185
7,2021-01-02,217
7,2021-01-03,191
7,2021-01-04,258
7,2021-01-05,227
7,2021-01-06,229
7,2021-01-07,169
7,2021-01-08,216
7,2021-01-09,180
7,2021-01-10,163
7,2021-01-11,231
7,2021-01-12,202
7,2021-01-13,193
7,2021-01-14,185
7,2021-01-15,177
7,2021-01-16,145
7,2021-01-17,120
7,2021-01-18,161
7,2021-01-19,128
7,2021-01-20,157
7,2021-01-21,124
7,2021-01-22,104
7,2021-01-23,107
7,2021-01-24,77
7,2021-01-25,133
7,2021-01-26,91
7,2021-01-27,124
7,2021-01-28,93
7,2021-01-29,80
7,2021-01-30,71
7,2021-01-31,59
7,2021-02-01,92
7,2021-02-02,59
7,2021-02-03,95
7,2021-02-04,53
7,2021-02-05,75
7,2021-02-06,53
7,2021-02-07,61
7,2021-02-08,71
7,2021-02-09,79
7,2021-02-10,77
7,2021-02-11,70
7,2021-02-12,69
7,2021-02-13,55
7,2021-02-14,59
7,2021-02-15,66
7,2021-02-16,60
7,2021-02-17,76
7,2021-02-18,85
7,2021-02-19,64
7,2021-02-20,61
7,2021-02-21,50
7,2021-02-22,61
7,2021-02-23,65
7,2021-02-24,74
7,2021-02-25,64
7,2021-02-26,80
7,2021-02-27,70
7,2021-02-28,71
7,2021-03-01,111
7,2021-03-02,86
7,2021-03-03,115
7,2021-03-04,95
7,2021-03-05,100
7,2021-03-06,78
7,2021-03-07,97
7,2021-03-08,96
7,2021-03-09,80
7,2021-03-10,97
7,2021-03-11,92
7,2021-03-12,108
7,2021-03-13,77
7,2021-03-14,75
7,2021-03-15,140
7,2021-03-16,117
7,2021-03-17,108
7,2021-03-18,114
7,2021-03-19,114
7,2021-03-20,154
7,2021-03-21,122
7,2021-03-22,160
7,2021-03-23,175
7,2021-03-24,173
7,2021-03-25,178
7,2021-03-26,166
7,2021-03-27,173
7,2021-03-28,185
7,2021-03-29,253
7,2021-03-30,232
7,2021-03-31,223
7,2021-04-01,303
7,2021-04-02,230
7,2021-04-03,275
7,2021-04-04,252
7,2021-04-05,356
7,2021-04-06,312
7,2021-04-07,338
7,2021-04-08,331
7,2021-04-09,360
7,2021-04-10,345
7,2021-04-11,267
7,2021-04-12,385
7,2021-04-13,299
7,2021-04-14,313
